country_code,industry_code,nace_r2_code,year,entity,year_int,ln_hours,ln_robots,ln_robots_lag1,ln_va,ln_cap,ln_gdp,unemployment,adjcov,coord,adjcov_c,high_coord,coord_pre,has_coord,coord_pre_c,adjcov_pre,has_adjcov,adjcov_pre_c,ud_pre,has_ud,ud_pre_c,wstat_pre,has_wstat,wstat_pre_c,wc_pre,has_wc,wc_pre_binary,spa_signed_pre,has_spa_signed,spa_signed_pre_binary,high_coord_pre,bucket,bucket_name,robot_wrkr_stock_95,LAB_QI,VA_PYP,CAP_QI
AT,10-12,C10-C12,2005,AT_10-12,2005,4.583807137766619,-1.747023575386664,-3.4210000089583352,8.38098393078725,4.522560257853885,12.526444535804613,,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.1742919389978213,97.8863525390625,4363.3,92.0710220336914
AT,10-12,C10-C12,2006,AT_10-12,2006,4.581379750389574,-1.0538763948267182,-1.747023575386664,8.434702489849158,4.526040871773695,12.55861506232888,,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.3485838779956427,97.6490325927734,4604.1,92.3920440673828
AT,10-12,C10-C12,2007,AT_10-12,2007,4.58504789548349,-0.9086943849822202,-1.0538763948267182,8.568969369196834,4.523528306287508,12.595672225784796,,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.4030501089324619,98.0078811645508,5265.7,92.1601943969727
AT,10-12,C10-C12,2008,AT_10-12,2008,4.601012920658791,-0.6277919995158181,-0.9086943849822202,8.390654436074543,4.529328028555766,12.610100387789473,,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.533769063180828,99.5851364135742,4405.7,92.6962509155273
AT,10-12,C10-C12,2009,AT_10-12,2009,4.592012715804017,-0.5493203840743229,-0.6277919995158181,8.451053388911692,4.530883623105843,12.573579017190712,5.7,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.5773420479302832,98.69287109375,4680.0,92.8405609130859
AT,10-12,C10-C12,2010,AT_10-12,2010,4.5856658692954175,-0.3452250277308075,-0.5493203840743229,8.594598578260632,4.538084559798564,12.591507140355327,5.2,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.7080610021786493,98.0684661865234,5402.4,93.5115127563477
AT,10-12,C10-C12,2011,AT_10-12,2011,4.572750348321363,-0.2429461786103894,-0.3452250277308075,8.5270643112115,4.542897244272675,12.620361377388116,4.9,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.7843137254901961,96.8100051879883,5049.6,93.9626388549805
AT,10-12,C10-C12,2012,AT_10-12,2012,4.575537050081769,-0.0087527911095948,-0.2429461786103894,8.610483150129243,4.538954314874841,12.626624376083477,5.2,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,0.9912854030501088,97.0801620483398,5488.9,93.5928802490234
AT,10-12,C10-C12,2013,AT_10-12,2013,4.58225974064995,0.1343480525310783,-0.0087527911095948,8.560654898826773,4.552246647587461,12.624114006675333,5.7,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,1.1437908496732023,97.7350006103516,5222.1,94.8452529907227
AT,10-12,C10-C12,2014,AT_10-12,2014,4.598801299547642,0.3087014396758563,0.1343480525310783,8.635260631070414,4.5792286076531665,12.631643602931938,6.0,98.0,4.0,11.002698746101458,1.0,4.0,True,0.9119340426511906,98.0,True,11.002698746101458,43.75,True,2.736517943743948,,False,,2.0,True,1.0,0.1666666666666666,True,1.0,1.0,5.0,Low-tech / traditional,1.3616557734204793,99.3651351928711,5626.6,97.4392013549805
