"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2011","SE",351,679.114906832298,"3",1955,"2","1","1","2","NA","NA","NA","NA","NA","0","NA","NA",56,55,35,"0.6666666667","2","0","0"
"2011","SE",451,679.114906832298,"4",1955,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",56,55,45,"1","2","0","100"
"2011","SE",591,679.114906832298,"2",1982,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",29,28,59,"1","0","0","0"
"2011","SE",701,679.114906832298,"2",1948,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",62,62,70,"1","0","0","0"
"2011","SE",801,679.114906832298,"2",1930,"2","1","3","4","13","3","NA","NA","NA","NA","0","NA",80,80,80,"0.3333333333","0","0","0"
"2011","SE",881,679.114906832298,"2",1957,"1","1","4","3","13","3","NA","NA","0","NA","NA","NA",53,53,88,"99","0","0","0"
"2011","SE",1011,679.114906832298,"4",1930,"2","1","3","2","NA","3","NA","NA","NA","NA","NA","NA",80,80,101,"99","0","0","0"
"2011","SE",1071,679.114906832298,"2",1984,"1","1","3","4","13","NA","NA","NA","NA","NA","NA","NA",27,26,107,"1","0","0","0"
"2011","SE",1201,679.114906832298,"4",1937,"1","1","3","3","13","3","NA","NA","NA","NA","NA","NA",74,73,120,"0.5","2","0","0"
"2011","SE",1261,679.114906832298,"3",1962,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",49,48,126,"1","2","0","101"
"2011","SE",1291,679.114906832298,"4",1943,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",68,67,129,"99","0","0","0"
"2011","SE",1371,679.114906832298,"2",1935,"1","1","1","2","13","NA","NA","NA","NA","NA","0","NA",75,75,137,"0.5","0","0","0"
"2011","SE",1451,679.114906832298,"3",1938,"1","1","1","4","13","3","NA","NA","NA","NA","NA","NA",73,72,145,"1","2","0","0"
"2011","SE",1521,679.114906832298,"3",1939,"1","1","4","3","13","3","NA","NA","NA","NA","NA","0",72,71,152,"0.7095238095","0","0","0"
"2011","SE",1831,679.114906832298,"2",1937,"2","1","1","3","13","3","NA","NA","NA","NA","NA","0",73,73,183,"0.7142857143","0","0","0"
"2011","SE",1881,679.114906832298,"4",1972,"1","1","3","3","13","3","NA","NA","NA","NA","NA","NA",38,38,188,"0.7285714286","0","0","0"
"2011","SE",1891,679.114906832298,"1",1979,"2","1","1","3","13","3","NA","NA","15","NA","NA","NA",32,31,189,"99","2","0","0"
"2011","SE",2321,679.114906832298,"1",1955,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",56,55,232,"1","0","0","0"
"2011","SE",2431,679.114906832298,"3",1979,"1","1","3","4","13","3","NA","NA","NA","NA","NA","NA",31,31,243,"1","2","0","0"
"2011","SE",2561,679.114906832298,"2",1981,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",29,29,256,"1","0","0","1"
"2011","SE",2571,679.114906832298,"2",1934,"2","1","3","2","NA","NA","NA","NA","NA","NA","NA","NA",76,76,257,"0","0","0","0"
"2011","SE",2921,679.114906832298,"3",1973,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",37,37,292,"1","0","0","0"
"2011","SE",3131,679.114906832298,"4",1982,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",29,28,313,"99","2","0","0"
"2011","SE",3451,679.114906832298,"1",1985,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",25,25,345,"1","2","0","0"
"2011","SE",3581,679.114906832298,"1",1974,"2","1","1","3","13","3","NA","NA","NA","0","NA","NA",37,36,358,"99","0","0","0"
"2011","SE",3601,679.114906832298,"1",1933,"1","1","4","3","NA","3","NA","NA","NA","NA","NA","NA",78,77,360,"0.4166666667","0","0","100"
"2011","SE",3611,679.114906832298,"1",1964,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",47,46,361,"99","2","0","0"
