"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2005","SE",361,746.788990825688,"3",1981,"2","1","1","2","13","3","NA","NA","NA","0","NA","NA",36,23,24
"2005","SE",461,746.788990825688,"1",1955,"1","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",46,49,49
"2005","SE",611,746.788990825688,"4",1924,"2","1","4","2","13","3","NA","NA","NA","NA","NA","0",61,80,80
"2005","SE",721,746.788990825688,"1",1944,"1","1","1","3","13","1","NA","NA","0","NA","NA","0",72,60,61
"2005","SE",821,746.788990825688,"3",1982,"2","1","4","2","13","3","NA","NA","7","NA","0","NA",82,22,23
"2005","SE",901,746.788990825688,"2",1927,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",90,77,78
"2005","SE",1041,746.788990825688,"3",1957,"1","1","3","4","13","3","NA","NA","NA","NA","NA","NA",104,47,47
"2005","SE",1091,746.788990825688,"4",1951,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",109,53,53
"2005","SE",1231,746.788990825688,"2",1929,"2","1","4","3","13","3","NA","30","NA","NA","NA","NA",123,75,76
"2005","SE",1291,746.788990825688,"2",1975,"1","1","3","2","13","NA","NA","30","NA","NA","NA","NA",129,29,29
"2005","SE",1321,746.788990825688,"2",1983,"2","1","1","3","NA","1","NA","NA","NA","NA","NA","NA",132,21,22
"2005","SE",1401,746.788990825688,"3",1927,"2","1","1","4","NA","3","NA","NA","NA","NA","NA","NA",140,77,77
"2005","SE",1491,746.788990825688,"1",1977,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",149,27,28
"2005","SE",1881,746.788990825688,"2",1950,"2","1","4","2","13","1","NA","NA","NA","NA","NA","NA",188,54,55
"2005","SE",1931,746.788990825688,"1",1977,"1","1","1","2","13","5","NA","NA","NA","NA","NA","0",193,27,27
"2005","SE",1941,746.788990825688,"1",1924,"2","1","1","4","13","1","NA","NA","NA","NA","NA","NA",194,80,80
"2005","SE",2381,746.788990825688,"3",1948,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",238,56,57
"2005","SE",2491,746.788990825688,"2",1976,"1","1","3","4","13","5","NA","NA","NA","NA","NA","0",249,28,29
"2005","SE",2631,746.788990825688,"2",1958,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",263,46,47
"2005","SE",2641,746.788990825688,"1",1972,"2","1","3","4","13","1","NA","NA","NA","NA","NA","NA",264,32,32
