"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2004","SE",37,"4","2004","45",9728,1053,0,0,,,,,,0,0,0,0,0,92,,0,0,0,8675,"2","2","NA","1","1","1","1","1","1","1","1","4","NA","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","301.73","1","1","1",1,,,,,,
"2004","SE",47,"2","2004","65",10922,634,0,0,,,,,,0,0,0,0,0,0,,0,0,0,10288,"NA","2","2","1","1","1","1","1","1","1","2","1","1863.18","NA","NA","2","2","2","2","4","1","5","1","1","NA","NA","667.02","1","1","1",1,,,,,,
"2004","SE",62,"2","2004","60",901,901,0,0,,,,,,0,0,0,0,0,40,,0,0,0,0,"2","2","2","2","1","1","1","1","1","1","1","1","1643.98","3","3","2","2","2","2","4","2","6","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","SE",73,"2","2004","45",17955,14792,0,0,,,,,,0,0,0,0,0,0,,0,0,0,3163,"2","2","NA","1","1","2","1","1","1","1","1","3","2411.17","3","NA","2","1","2","2","1","2","4","2","1","580.87","NA","630.74","1","1","1",1,,,,,,
"2004","SE",84,"2","2004","60",24826,24120,0,0,,,,,,0,0,0,0,0,36,,0,0,0,706,"2","2","2","1","1","1","1","1","1","3","1","3","2191.97","1","3","2","2","NA","2","4","2","2","2","1","535.94","NA","331.32","1","1","1",1,,,,,,
"2004","SE",92,"1","2004","85",23738,13798,0,0,,,,,,0,0,0,0,0,0,,0,0,0,9940,"2","NA","NA","1","1","1","1","1","1","1","1","6","3507.16","3","NA","2","1","2","2","4","2","2","2","1","504.15","NA","376.8","1","1","1",1,,,,,,
"2004","SE",107,"2","2004","90",11247,7672,0,0,,,,,,0,0,0,0,0,1,,0,482,0,3092,"NA","NA","2","1","1","1","1","1","NA","1","1","6","NA","3","NA","2","2","2","2","3","1","4","2","1","NA","NA","416.91","1","1","1",1,,,,,,
"2004","SE",112,"3","2004","65",26864,19900,0,0,,,,,,0,0,0,0,0,6,,0,0,0,6965,"2","NA","2","1","1","2","1","1","1","2","1","1","1643.98","1","NA","2","1","2","1","4","1","5","NA","1","NA","NA","1228.93","1","1","1",1,,,,,,
"2004","SE",126,"1","2004","NA",81272,75202,0,0,,,,,,0,0,0,0,0,6663,,0,0,0,6069,"NA","2","NA","1","1","1","1","1","2","NA","1","4","NA","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","416.91","1","1","1",1,,,,,,
"2004","SE",132,"1","2004","75",34401,22264,0,0,,,,,,0,0,0,0,0,58,,0,1656,0,10480,"2","2","NA","1","1","1","1","1","1","1","1","3","NA","3","1","2","2","2","2","3","1","4","2","1","NA","NA","668.44","1","1","1",1,,,,,,
