"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2012","SE",371,687.024608501119,"4",1972,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",39,39,37,"99","0","0","0"
"2012","SE",481,687.024608501119,"2",1931,"2","1","3","3","13","3","15","NA","NA","NA","NA","NA",80,80,48,"0.9","2","0","0"
"2012","SE",621,687.024608501119,"2",1942,"2","1","3","4","13","3","NA","NA","NA","NA","NA","NA",69,69,62,"0.5416666667","0","0","0"
"2012","SE",741,687.024608501119,"3",1936,"2","1","1","3","NA","3","NA","NA","NA","NA","0","NA",76,75,74,"99","0","0","0"
"2012","SE",841,687.024608501119,"4",1959,"1","1","3","4","13","3","NA","NA","NA","NA","NA","0",53,52,84,"0","2","0","0"
"2012","SE",931,687.024608501119,"3",1954,"1","1","1","4","13","3","NA","NA","NA","NA","0","0",57,57,93,"0.9285714286","2","0","0"
"2012","SE",1071,687.024608501119,"2",1988,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",24,23,107,"99","2","0","0"
"2012","SE",1131,687.024608501119,"2",1931,"2","1","4","2","13","3","NA","NA","NA","NA","NA","0",80,80,113,"1","0","0","0"
"2012","SE",1261,687.024608501119,"4",1957,"1","1","1","4","NA","3","NA","NA","7","0","NA","NA",55,54,126,"0.7857142857","0","0","100"
"2012","SE",1321,687.024608501119,"4",1985,"2","1","1","3","13","NA","NA","NA","NA","NA","NA","NA",26,26,132,"1","0","0","10"
"2012","SE",1361,687.024608501119,"2",1980,"2","1","1","3","NA","3","NA","NA","NA","0","NA","NA",32,31,136,"99","2","0","0"
"2012","SE",1441,687.024608501119,"3",1983,"1","1","4","3","13","3","NA","30","NA","NA","NA","NA",29,28,144,"1","0","0","0"
"2012","SE",1531,687.024608501119,"1",1953,"2","1","4","4","13","3","NA","30","NA","NA","0","0",59,58,153,"99","2","0","100"
"2012","SE",1611,687.024608501119,"3",1979,"2","1","4","2","13","3","NA","30","15","NA","NA","0",32,32,161,"0.8333333333","0","0","100"
"2012","SE",1931,687.024608501119,"2",1985,"1","1","3","2","13","3","NA","NA","NA","0","NA","NA",27,26,193,"1","0","0","0"
"2012","SE",1991,687.024608501119,"3",1948,"2","1","1","2","13","3","NA","NA","NA","0","0","NA",63,63,199,"99","0","0","0"
"2012","SE",2001,687.024608501119,"2",1943,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",68,68,200,"99","0","0","0"
"2012","SE",2451,687.024608501119,"2",1946,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",65,65,245,"1","0","0","0"
"2012","SE",2571,687.024608501119,"1",1951,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",61,60,257,"0.1995685783","0","0","0"
"2012","SE",2701,687.024608501119,"2",1931,"2","1","4","3","13","3","NA","30","NA","NA","NA","NA",80,80,270,"1","0","0","0"
"2012","SE",2721,687.024608501119,"4",1945,"2","1","3","3","13","NA","NA","NA","NA","0","NA","NA",66,66,272,"1","0","0","100"
"2012","SE",3081,687.024608501119,"3",1942,"2","1","1","3","13","NA","NA","30","NA","NA","NA","0",69,69,308,"99","0","0","0"
"2012","SE",3311,687.024608501119,"4",1931,"2","1","4","3","13","NA","NA","30","NA","NA","0","NA",80,80,331,"0.5","0","0","100"
"2012","SE",3651,687.024608501119,"3",1983,"1","1","4","4","13","3","NA","NA","NA","0","NA","0",28,28,365,"0.8134920635","0","0","100"
"2012","SE",3781,687.024608501119,"3",1988,"1","1","3","4","13","3","15","NA","0","NA","NA","NA",24,23,378,"99","0","0","0"
"2012","SE",3801,687.024608501119,"4",1984,"2","1","4","2","13","3","NA","NA","NA","40","NA","NA",27,27,380,"0.5","0","0","100"
"2012","SE",3821,687.024608501119,"3",1931,"1","1","3","3","NA","3","NA","NA","NA","NA","0","0",80,80,382,"1","2","0","0"
"2012","SE",3831,687.024608501119,"1",1943,"2","1","1","4","13","3","NA","30","NA","NA","NA","NA",68,68,383,"99","0","0","0"
"2012","SE",3861,687.024608501119,"3",1954,"1","1","4","2","13","3","NA","NA","NA","0","NA","NA",58,57,386,"99","2","0","0"
"2012","SE",4171,687.024608501119,"1",1985,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",26,26,417,"1","0","0","0"
"2012","SE",4201,687.024608501119,"3",1983,"1","1","1","2","13","3","NA","NA","8","NA","NA","NA",29,28,420,"1","0","0","0"
"2012","SE",4231,687.024608501119,"4",1988,"1","1","3","2","NA","3","NA","NA","NA","NA","NA","0",24,23,423,"1","0","0","0"
"2012","SE",4401,687.024608501119,"2",1933,"2","1","1","3","13","NA","NA","NA","3","NA","NA","NA",79,78,440,"99","2","0","0"
"2012","SE",4751,687.024608501119,"1",1944,"1","1","1","2","13","3","15","NA","10","NA","NA","0",68,67,475,"1","1","0","0"
"2012","SE",5071,687.024608501119,"2",1931,"2","1","4","2","13","3","NA","NA","NA","NA","0","NA",80,80,507,"0.9857142857","0","0","0"
"2012","SE",5201,687.024608501119,"3",1980,"1","1","3","2","NA","NA","NA","30","15","NA","NA","NA",32,31,520,"0.5","0","0","0"
"2012","SE",5311,687.024608501119,"3",1943,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",68,68,531,"1","0","0","0"
"2012","SE",5411,687.024608501119,"4",1947,"2","1","1","2","13","3","15","NA","6","NA","NA","NA",64,64,541,"99","0","0","0"
"2012","SE",5421,687.024608501119,"1",1956,"2","1","3","4","13","3","NA","NA","NA","NA","NA","NA",56,55,542,"0.5","0","0","0"
"2012","SE",5931,687.024608501119,"4",1946,"1","1","1","3","13","3","NA","NA","NA","NA","0","NA",66,65,593,"1","2","0","0"
"2012","SE",5941,687.024608501119,"1",1972,"1","1","4","4","13","3","NA","NA","NA","NA","0","NA",39,39,594,"1","2","0","0"
"2012","SE",6021,687.024608501119,"4",1978,"1","1","3","4","NA","3","NA","30","NA","NA","NA","NA",33,33,602,"0.9285714286","0","0","0"
"2012","SE",6071,687.024608501119,"2",1956,"2","1","3","4","13","3","NA","30","NA","NA","0","NA",56,55,607,"0","0","0","0"
"2012","SE",6251,687.024608501119,"2",1973,"2","1","4","2","13","3","NA","NA","8","NA","0","NA",39,38,625,"0.5714285714","0","0","0"
"2012","SE",6351,687.024608501119,"2",1989,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",23,22,635,"99","0","0","0"
"2012","SE",6431,687.024608501119,"2",1949,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",62,62,643,"0.9285714286","0","0","0"
"2012","SE",6561,687.024608501119,"2",1983,"1","1","2","4","13","3","NA","NA","NA","NA","0","0",29,28,656,"0","2","0","0"
"2012","SE",6921,687.024608501119,"1",1931,"2","1","4","3","13","3","NA","NA","NA","NA","0","NA",80,80,692,"1","0","0","0"
"2012","SE",7011,687.024608501119,"2",1984,"1","1","3","3","13","3","NA","NA","0","NA","0","0",27,27,701,"1","2","0","0"
"2012","SE",7051,687.024608501119,"2",1981,"2","1","3","2","NA","3","NA","NA","NA","NA","0","0",30,30,705,"0.7857142857","0","0","0"
"2012","SE",7111,687.024608501119,"2",1931,"2","1","4","3","NA","3","NA","NA","NA","NA","0","NA",80,80,711,"1","0","0","0"
"2012","SE",7151,687.024608501119,"3",1945,"2","1","1","2","NA","NA","NA","NA","NA","NA","0","NA",67,66,715,"1","0","0","0"
"2012","SE",7551,687.024608501119,"4",1945,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",67,66,755,"99","2","0","0"
"2012","SE",7781,687.024608501119,"1",1931,"2","1","4","3","NA","3","NA","NA","NA","42","NA","0",80,80,778,"1","2","0","0"
"2012","SE",7841,687.024608501119,"3",1945,"2","1","1","3","13","3","NA","NA","NA","NA","0","0",67,66,784,"1","0","0","0"
"2012","SE",8731,687.024608501119,"2",1972,"2","1","1","3","NA","3","NA","NA","NA","NA","NA","NA",39,39,873,"1","0","1","0"
"2012","SE",8921,687.024608501119,"4",1948,"2","1","1","3","NA","3","NA","30","0","0","NA","NA",64,63,892,"0.5238095238","0","0","0"
"2012","SE",9001,687.024608501119,"4",1931,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",80,80,900,"99","2","0","0"
"2012","SE",9061,687.024608501119,"3",1980,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","0",32,31,906,"99","0","0","0"
"2012","SE",9111,687.024608501119,"2",1981,"1","1","4","3","13","3","NA","NA","NA","NA","NA","NA",30,30,911,"1","2","0","0"
"2012","SE",9231,687.024608501119,"1",1950,"2","1","4","4","13","NA","NA","30","NA","NA","NA","NA",62,61,923,"0.8571428571","2","0","0"
"2012","SE",9291,687.024608501119,"2",1931,"2","1","1","3","13","3","NA","NA","20","NA","NA","NA",80,80,929,"99","0","0","0"
"2012","SE",9731,687.024608501119,"4",1948,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",63,63,973,"99","2","0","0"
"2012","SE",9951,687.024608501119,"1",1948,"2","1","4","3","13","3","NA","30","NA","NA","NA","NA",64,63,995,"1","0","0","0"
"2012","SE",10161,687.024608501119,"1",1944,"1","1","1","2","13","3","NA","30","NA","NA","NA","0",68,67,1016,"0","1","0","0"
"2012","SE",10191,687.024608501119,"4",1985,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",26,26,1019,"99","0","0","100"
"2012","SE",10201,687.024608501119,"3",1977,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",34,34,1020,"0.5","2","0","0"
"2012","SE",10241,687.024608501119,"3",1981,"1","1","4","2","13","3","NA","NA","NA","NA","NA","0",31,30,1024,"0.6316076466","0","0","0"
"2012","SE",10681,687.024608501119,"2",1943,"2","1","1","2","13","NA","15","NA","NA","0","NA","NA",69,68,1068,"99","0","0","0"
"2012","SE",10951,687.024608501119,"1",1964,"2","1","4","3","NA","NA","NA","NA","NA","NA","NA","NA",48,47,1095,"0.9571428571","1","0","100"
"2012","SE",10971,687.024608501119,"3",1982,"2","1","1","3","13","3","NA","NA","NA","NA","0","NA",29,29,1097,"99","0","0","0"
"2012","SE",11361,687.024608501119,"1",1963,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",48,48,1136,"99","0","0","0"
"2012","SE",11421,687.024608501119,"4",1951,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",61,60,1142,"1","0","0","0"
"2012","SE",11471,687.024608501119,"3",1972,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",40,39,1147,"1","2","0","0"
"2012","SE",11641,687.024608501119,"2",1943,"2","1","4","4","NA","3","NA","NA","NA","NA","NA","0",69,68,1164,"1","2","0","0"
"2012","SE",12021,687.024608501119,"3",1945,"2","1","1","4","13","NA","NA","NA","NA","NA","NA","NA",67,66,1202,"0.9285714286","2","0","0"
"2012","SE",12301,687.024608501119,"2",1974,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",37,37,1230,"0.9285714286","0","0","101"
