"DB010","DB020","DB030","DB040","DB062","DB090"
"2004","SE",37,"SE01","NA","2088.2"
"2004","SE",47,"SE01","NA","613"
"2004","SE",62,"SE01","NA","605.35"
"2004","SE",73,"SE01","NA","637.15"
"2004","SE",84,"SE01","NA","1226"
"2004","SE",92,"SE01","NA","1412.7"
"2004","SE",107,"SE01","NA","2363.7"
"2004","SE",112,"SE01","NA","506.6333"
"2004","SE",126,"SE01","NA","1923.7"
"2004","SE",132,"SE01","NA","563.1"
"2004","SE",135,"SE01","NA","269.375"
"2004","SE",144,"SE01","NA","1274.8"
"2004","SE",152,"SE01","NA","605.35"
"2004","SE",193,"SE01","NA","1342.3"
"2004","SE",198,"SE01","NA","1317.3"
"2004","SE",199,"SE01","NA","1660.2"
"2004","SE",244,"SE01","NA","435.6667"
"2004","SE",256,"SE01","NA","1412.7"
"2004","SE",269,"SE01","NA","495.65"
"2004","SE",271,"SE01","NA","715.6"
"2004","SE",307,"SE01","NA","2215.1"
"2004","SE",330,"SE01","NA","424.3667"
"2004","SE",363,"SE01","NA","1176.7"
"2004","SE",379,"SE01","NA","671.15"
"2004","SE",382,"SE01","NA","399.3667"
"2004","SE",385,"SE01","NA","978.1"
"2004","SE",416,"SE01","NA","1084.5"
"2004","SE",418,"SE01","NA","1126.2"
"2004","SE",473,"SE01","NA","1591.2"
"2004","SE",505,"SE01","NA","495.65"
"2004","SE",519,"SE01","NA","2566"
"2004","SE",530,"SE01","NA","605.35"
"2004","SE",539,"SE01","NA","588.35"
"2004","SE",540,"SE01","NA","1203.2"
"2004","SE",591,"SE01","NA","1250.7"
"2004","SE",600,"SE01","NA","1393.3"
"2004","SE",605,"SE01","NA","1126.2"
"2004","SE",623,"SE01","NA","1279.6"
"2004","SE",633,"SE01","NA","625.35"
"2004","SE",641,"SE01","NA","671.15"
"2004","SE",654,"SE01","NA","581.75"
"2004","SE",689,"SE01","NA","605.35"
"2004","SE",698,"SE01","NA","653.5"
"2004","SE",699,"SE01","NA","671.15"
"2004","SE",703,"SE01","NA","1177.1"
"2004","SE",709,"SE01","NA","1813"
"2004","SE",712,"SE01","NA","1519.9"
"2004","SE",753,"SE01","NA","568.65"
"2004","SE",775,"SE01","NA","495.65"
"2004","SE",870,"SE01","NA","568.55"
"2004","SE",889,"SE01","NA","605.35"
"2004","SE",903,"SE01","NA","2349.1"
"2004","SE",908,"SE01","NA","1250.7"
"2004","SE",920,"SE01","NA","1250.7"
"2004","SE",926,"SE01","NA","1389.1"
"2004","SE",969,"SE01","NA","1077.5"
"2004","SE",991,"SE01","NA","636.55"
"2004","SE",1012,"SE01","NA","1091.3"
"2004","SE",1015,"SE01","NA","280.6"
"2004","SE",1017,"SE01","NA","1068.7"
"2004","SE",1021,"SE01","NA","693.65"
"2004","SE",1064,"SE01","NA","478.65"
"2004","SE",1091,"SE01","NA","2310"
"2004","SE",1093,"SE01","NA","586.05"
"2004","SE",1132,"SE01","NA","693.65"
"2004","SE",1138,"SE01","NA","1591.2"
"2004","SE",1143,"SE01","NA","693.65"
"2004","SE",1160,"SE01","NA","1166.1"
"2004","SE",1198,"SE01","NA","379.1"
"2004","SE",1226,"SE01","NA","588.35"
"2004","SE",1227,"SE01","NA","961.85"
"2004","SE",1278,"SE01","NA","1170.4"
"2004","SE",1282,"SE01","NA","399.3667"
"2004","SE",1288,"SE01","NA","561.2"
"2004","SE",1321,"SE01","NA","562.75"
"2004","SE",1393,"SE01","NA","1308.1"
"2004","SE",1408,"SE01","NA","671.15"
"2004","SE",1409,"SE01","NA","588.35"
"2004","SE",1410,"SE01","NA","1412.7"
"2004","SE",1420,"SE01","NA","463.0333"
"2004","SE",1459,"SE01","NA","1563.7"
