"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2010","SE",361,645.113056163384,"2",1951,"1","1","3","2","NA","3","NA","NA","NA","0","NA","NA",36,58,"0","0.7285714286","0","0",59
"2010","SE",461,645.113056163384,"2",1985,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",46,24,"0","99","0","0",25
"2010","SE",601,645.113056163384,"4",1931,"2","1","3","2","13","3","NA","30","NA","NA","NA","0",60,78,"0","1","0","100",78
"2010","SE",711,645.113056163384,"2",1948,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",71,61,"1","1","0","0",62
"2010","SE",811,645.113056163384,"1",1945,"2","1","3","4","13","NA","NA","NA","NA","NA","NA","NA",81,64,"2","0.6666666667","0","100",65
"2010","SE",891,645.113056163384,"1",1933,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",89,76,"0","99","0","0",76
"2010","SE",1021,645.113056163384,"4",1956,"2","1","2","3","13","NA","NA","NA","NA","NA","NA","NA",102,53,"0","99","0","100",54
"2010","SE",1081,645.113056163384,"2",1966,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",108,43,"0","1","0","0",43
"2010","SE",1211,645.113056163384,"1",1981,"1","1","1","2","NA","3","NA","30","NA","NA","NA","NA",121,28,"0","1","0","0",29
"2010","SE",1271,645.113056163384,"2",1984,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",127,25,"0","0","0","10",26
"2010","SE",1301,645.113056163384,"1",1965,"1","1","4","4","13","3","NA","NA","NA","NA","NA","NA",130,44,"2","0.780952381","0","0",45
"2010","SE",1381,645.113056163384,"2",1933,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",138,76,"0","1","0","0",77
"2010","SE",1471,645.113056163384,"3",1973,"1","1","1","4","13","NA","NA","NA","NA","NA","NA","0",147,36,"0","99","0","0",37
"2010","SE",1541,645.113056163384,"3",1929,"2","1","1","2","13","3","NA","NA","NA","NA","0","NA",154,80,"0","99","0","0",80
"2010","SE",1851,645.113056163384,"1",1982,"2","1","1","4","13","3","NA","NA","NA","0","NA","NA",185,27,"2","0","0","0",27
"2010","SE",1901,645.113056163384,"2",1957,"1","1","1","4","13","3","NA","NA","NA","NA","NA","NA",190,52,"0","0.8718565492","0","0",52
"2010","SE",1921,645.113056163384,"1",1980,"2","1","1","3","NA","NA","NA","NA","NA","NA","0","NA",192,29,"2","1","0","0",30
"2010","SE",2351,645.113056163384,"1",1929,"2","1","1","2","13","3","NA","NA","NA","NA","0","NA",235,80,"0","0.7083333333","0","0",80
"2010","SE",2461,645.113056163384,"1",1945,"2","1","1","4","13","3","NA","NA","NA","NA","NA","0",246,64,"0","0.4571428571","0","0",64
"2010","SE",2591,645.113056163384,"4",1939,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",259,70,"2","99","0","0",71
"2010","SE",2601,645.113056163384,"2",1951,"1","1","1","3","NA","3","NA","NA","NA","NA","NA","NA",260,58,"0","1","0","0",59
"2010","SE",2951,645.113056163384,"1",1987,"2","1","3","2","13","3","15","NA","NA","NA","NA","NA",295,22,"0","0.9166666667","0","0",22
"2010","SE",3171,645.113056163384,"2",1931,"2","1","3","2","13","3","NA","NA","NA","NA","NA","0",317,78,"0","1","0","0",78
"2010","SE",3491,645.113056163384,"3",1952,"1","1","4","4","NA","NA","NA","NA","NA","0","NA","NA",349,57,"0","0.7285714286","0","0",57
"2010","SE",3621,645.113056163384,"1",1971,"1","1","4","4","13","3","NA","NA","NA","NA","0","NA",362,38,"2","0.75","0","100",39
"2010","SE",3641,645.113056163384,"2",1930,"1","1","3","4","13","3","NA","NA","NA","29","NA","NA",364,79,"0","0.7916666667","0","0",80
"2010","SE",3651,645.113056163384,"3",1987,"2","1","4","2","NA","3","NA","NA","0","0","NA","NA",365,22,"0","1","0","0",23
"2010","SE",3671,645.113056163384,"3",1956,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",367,53,"2","99","0","0",54
"2010","SE",3711,645.113056163384,"1",1990,"1","1","4","4","NA","NA","NA","NA","NA","NA","NA","NA",371,19,"0","1","0","0",20
"2010","SE",4001,645.113056163384,"4",1963,"2","1","3","2","13","NA","NA","30","40","NA","NA","0",400,46,"2","99","0","0",46
"2010","SE",4031,645.113056163384,"3",1987,"1","1","1","2","13","3","NA","NA","NA","NA","NA","0",403,22,"2","0.8893104694","0","0",23
"2010","SE",4051,645.113056163384,"1",1966,"1","1","3","3","NA","3","NA","30","NA","NA","NA","NA",405,43,"0","99","0","0",44
"2010","SE",4211,645.113056163384,"4",1929,"2","1","1","4","13","3","NA","NA","NA","NA","NA","0",421,80,"2","0.7285714286","0","0",80
"2010","SE",4561,645.113056163384,"4",1929,"1","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",456,80,"0","1","0","0",80
"2010","SE",4871,645.113056163384,"2",1934,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",487,75,"0","99","0","0",76
"2010","SE",4991,645.113056163384,"1",1943,"2","1","4","3","13","3","NA","NA","NA","NA","0","NA",499,66,"0","99","0","0",67
"2010","SE",5091,645.113056163384,"4",1963,"1","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",509,46,"2","1","0","0",47
"2010","SE",5191,645.113056163384,"3",1944,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",519,65,"1","0.0833333333","0","0",66
"2010","SE",5201,645.113056163384,"2",1930,"2","1","1","2","13","3","NA","NA","0","NA","NA","NA",520,79,"2","1","0","101",80
"2010","SE",5521,645.113056163384,"2",1964,"2","1","1","3","13","NA","NA","NA","NA","NA","NA","NA",552,45,"0","99","0","100",46
"2010","SE",5681,645.113056163384,"3",1980,"1","1","3","2","13","3","NA","NA","NA","NA","NA","0",568,29,"2","1","0","0",29
"2010","SE",5691,645.113056163384,"2",1960,"2","1","1","4","13","3","NA","NA","NA","NA","NA","0",569,49,"0","1","0","0",49
"2010","SE",5771,645.113056163384,"4",1947,"1","1","1","3","NA","3","NA","NA","NA","0","NA","0",577,62,"2","0.8714285714","0","0",63
"2010","SE",5821,645.113056163384,"3",1975,"1","1","1","4","13","3","NA","30","NA","NA","NA","NA",582,34,"0","99","0","0",35
"2010","SE",5991,645.113056163384,"4",1932,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",599,77,"0","99","0","0",78
"2010","SE",6091,645.113056163384,"4",1962,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",609,47,"0","99","0","100",47
"2010","SE",6161,645.113056163384,"3",1930,"2","1","3","4","13","NA","NA","NA","NA","NA","NA","NA",616,79,"0","1","0","0",80
"2010","SE",6281,645.113056163384,"2",1982,"1","1","3","3","13","3","NA","NA","NA","40","NA","NA",628,27,"2","0.75","1","0",28
"2010","SE",6621,645.113056163384,"1",1954,"2","1","NA","3","13","3","NA","30","NA","NA","NA","NA",662,55,"0","1","0","0",56
"2010","SE",6711,645.113056163384,"2",1963,"2","1","3","2","13","3","NA","NA","NA","NA","0","NA",671,46,"0","1","0","100",47
"2010","SE",6731,645.113056163384,"3",1929,"1","1","4","4","13","3","NA","NA","NA","NA","0","NA",673,80,"0","99","0","100",80
"2010","SE",6751,645.113056163384,"2",1976,"2","1","1","3","NA","3","NA","NA","NA","NA","NA","NA",675,33,"0","1","0","0",34
"2010","SE",6821,645.113056163384,"1",1973,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",682,36,"0","99","0","0",36
"2010","SE",6851,645.113056163384,"4",1963,"1","1","4","4","13","3","NA","NA","NA","NA","NA","NA",685,46,"0","99","0","0",47
"2010","SE",7161,645.113056163384,"1",1933,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",716,76,"0","99","0","0",77
"2010","SE",7191,645.113056163384,"1",1929,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",719,80,"0","99","0","0",80
"2010","SE",7231,645.113056163384,"3",1959,"1","1","4","3","13","3","NA","30","NA","NA","NA","NA",723,50,"2","99","1","100",51
"2010","SE",7241,645.113056163384,"1",1942,"1","1","4","3","13","NA","NA","NA","NA","NA","0","NA",724,67,"2","1","0","0",68
"2010","SE",7451,645.113056163384,"4",1947,"2","1","4","3","13","3","NA","NA","NA","40","NA","NA",745,62,"2","0.9773809524","0","100",62
"2010","SE",7501,645.113056163384,"4",1932,"1","1","1","3","13","3","NA","NA","NA","0","0","NA",750,77,"0","0.7285714286","0","0",78
"2010","SE",8371,645.113056163384,"2",1929,"1","1","4","2","13","3","NA","NA","NA","NA","NA","NA",837,80,"2","0.5","0","0",80
"2010","SE",8551,645.113056163384,"1",1967,"1","1","2","3","13","3","NA","NA","NA","NA","0","NA",855,42,"2","0.8312376995","0","0",43
"2010","SE",8621,645.113056163384,"2",1984,"2","1","4","3","13","3","NA","NA","NA","0","0","NA",862,25,"2","99","0","0",26
"2010","SE",8681,645.113056163384,"4",1961,"2","1","1","3","NA","3","NA","NA","NA","NA","0","NA",868,48,"0","99","0","0",49
"2010","SE",8721,645.113056163384,"2",1945,"2","1","1","2","NA","NA","NA","NA","0","NA","NA","NA",872,64,"0","99","0","0",65
"2010","SE",8861,645.113056163384,"3",1929,"2","1","3","2","13","3","NA","NA","15","NA","NA","NA",886,80,"2","0.9547619048","0","0",80
"2010","SE",8911,645.113056163384,"1",1976,"1","1","1","2","13","3","NA","NA","NA","NA","NA","0",891,33,"2","0","0","0",34
"2010","SE",9321,645.113056163384,"3",1931,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",932,78,"0","99","0","0",79
"2010","SE",9541,645.113056163384,"4",1947,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",954,62,"0","0","0","0",62
