"DB010","DB020","DB030","DB040","DB062","DB090"
"2012","SE",37,"SE11","NA","973.1522"
"2012","SE",48,"SE11","NA","1307.565"
"2012","SE",62,"SE11","NA","554.073"
"2012","SE",74,"SE11","NA","787.8377"
"2012","SE",84,"SE11","NA","435.855"
"2012","SE",93,"SE11","NA","475.0149"
"2012","SE",107,"SE11","NA","475.0149"
"2012","SE",113,"SE11","NA","584.241"
"2012","SE",126,"SE11","NA","653.7825"
"2012","SE",132,"SE11","NA","1168.482"
"2012","SE",136,"SE11","NA","1033.63"
"2012","SE",144,"SE11","NA","1033.63"
"2012","SE",153,"SE11","NA","1575.675"
"2012","SE",161,"SE11","NA","1316.523"
"2012","SE",193,"SE11","NA","569.7722"
"2012","SE",199,"SE11","NA","486.5761"
"2012","SE",200,"SE11","NA","486.5761"
"2012","SE",245,"SE11","NA","1099.165"
"2012","SE",257,"SE11","NA","787.8377"
"2012","SE",270,"SE11","NA","973.1522"
"2012","SE",272,"SE11","NA","554.073"
"2012","SE",308,"SE11","NA","1316.523"
"2012","SE",331,"SE11","NA","950.0297"
"2012","SE",365,"SE11","NA","584.241"
"2012","SE",378,"SE11","NA","950.0297"
"2012","SE",380,"SE11","NA","1362.271"
"2012","SE",382,"SE11","NA","1307.565"
"2012","SE",383,"SE11","NA","554.073"
"2012","SE",386,"SE11","NA","438.8409"
"2012","SE",417,"SE11","NA","1033.63"
"2012","SE",420,"SE11","NA","1309.699"
"2012","SE",423,"SE11","NA","584.241"
"2012","SE",440,"SE11","NA","1316.523"
"2012","SE",475,"SE11","NA","1099.165"
"2012","SE",507,"SE11","NA","681.1356"
"2012","SE",520,"SE11","NA","277.0365"
"2012","SE",531,"SE11","NA","1575.675"
"2012","SE",541,"SE11","NA","284.8861"
"2012","SE",542,"SE11","NA","1168.482"
"2012","SE",593,"SE11","NA","1621.177"
"2012","SE",594,"SE11","NA","569.7722"
"2012","SE",602,"SE11","NA","1307.565"
"2012","SE",607,"SE11","NA","1099.165"
"2012","SE",625,"SE11","NA","422.747"
"2012","SE",635,"SE11","NA","1316.523"
"2012","SE",643,"SE11","NA","324.3841"
"2012","SE",656,"SE11","NA","1362.271"
"2012","SE",692,"SE11","NA","1307.565"
"2012","SE",701,"SE11","NA","787.8377"
"2012","SE",705,"SE11","NA","569.7722"
"2012","SE",711,"SE11","NA","554.073"
"2012","SE",715,"SE11","NA","973.1522"
"2012","SE",755,"SE11","NA","1575.675"
"2012","SE",778,"SE11","NA","1168.482"
"2012","SE",784,"SE11","NA","950.0297"
"2012","SE",873,"SE11","NA","1621.177"
"2012","SE",892,"SE11","NA","653.7825"
"2012","SE",900,"SE11","NA","584.241"
"2012","SE",906,"SE11","NA","369.382"
"2012","SE",911,"SE11","NA","787.8377"
"2012","SE",923,"SE11","NA","475.0149"
"2012","SE",929,"SE11","NA","951.7187"
"2012","SE",973,"SE11","NA","1362.271"
"2012","SE",995,"SE11","NA","654.8495"
"2012","SE",1016,"SE11","NA","1575.675"
"2012","SE",1019,"SE11","NA","1139.544"
"2012","SE",1020,"SE11","NA","1362.271"
"2012","SE",1024,"SE11","NA","1621.177"
"2012","SE",1068,"SE11","NA","486.5761"
"2012","SE",1095,"SE11","NA","422.747"
"2012","SE",1097,"SE11","NA","950.0297"
"2012","SE",1136,"SE11","NA","475.8593"
"2012","SE",1142,"SE11","NA","475.0149"
"2012","SE",1147,"SE11","NA","634.1204"
"2012","SE",1164,"SE11","NA","973.1522"
