"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2008","SE",341,596.289752650177,"4",1981,"2","1","3","4","13","3","NA","NA","NA","NA","NA","NA",34,26,"2","0.2285714286","0","100",27
"2008","SE",441,596.289752650177,"2",1979,"1","1","4","2","13","3","NA","NA","NA","NA","NA","NA",44,28,"2","1","0","0",28
"2008","SE",571,596.289752650177,"1",1930,"1","1","4","2","NA","NA","NA","NA","20","NA","NA","0",57,77,"0","0.3952380952","0","0",78
"2008","SE",671,596.289752650177,"4",1941,"1","1","3","4","13","NA","NA","30","NA","NA","NA","NA",67,66,"0","99","0","101",67
"2008","SE",771,596.289752650177,"1",1931,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",77,76,"2","0.4722222222","0","101",76
"2008","SE",851,596.289752650177,"3",1931,"2","1","3","3","NA","3","NA","NA","NA","NA","NA","NA",85,76,"0","0.7285714286","0","100",77
"2008","SE",971,596.289752650177,"3",1927,"2","1","2","3","13","3","NA","NA","NA","0","NA","NA",97,80,"2","0.5","0","0",80
"2008","SE",991,596.289752650177,"2",1930,"2","1","1","3","NA","3","NA","NA","NA","NA","NA","NA",99,77,"0","1","0","0",77
"2008","SE",1031,596.289752650177,"4",1981,"1","1","3","2","13","3","NA","NA","0","NA","0","NA",103,26,"0","0.5","0","100",27
"2008","SE",1161,596.289752650177,"3",1927,"2","1","1","2","NA","3","NA","NA","0","NA","NA","0",116,80,"0","0.4307493261","0","0",80
"2008","SE",1211,596.289752650177,"1",1945,"2","1","4","4","NA","3","NA","NA","NA","0","NA","NA",121,62,"0","99","0","0",62
"2008","SE",1241,596.289752650177,"4",1945,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",124,62,"0","99","0","0",63
"2008","SE",1321,596.289752650177,"3",1973,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",132,34,"0","99","0","0",35
"2008","SE",1401,596.289752650177,"1",1987,"2","1","1","4","13","3","NA","NA","15","NA","NA","NA",140,20,"2","1","0","0",21
"2008","SE",1471,596.289752650177,"1",1979,"1","1","4","2","13","3","NA","NA","NA","0","0","0",147,28,"0","99","0","10",29
"2008","SE",1761,596.289752650177,"2",1963,"1","1","1","2","13","3","NA","NA","NA","0","NA","NA",176,44,"0","1","0","0",45
"2008","SE",1811,596.289752650177,"2",1929,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",181,78,"0","0.9547619048","0","0",79
"2008","SE",1831,596.289752650177,"3",1974,"1","1","1","3","13","3","15","NA","NA","0","NA","NA",183,33,"0","1","0","100",34
"2008","SE",1881,596.289752650177,"3",1963,"1","1","4","2","13","3","NA","NA","NA","NA","NA","NA",188,44,"2","0.8468948245","0","0",44
