"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2006","SE",35,"4","2006","15",6238,-2241,0,0,,,,,,0,0,0,1812,0,0,,0,0,0,8479,"2","2","2","1","1","1","1","1","1","1","1","4","NA","3","3","2","2","1","2","2","1","5","1","1","NA","741.63","691","1","1","1",1,,,,,,
"2006","SE",45,"4","2006","20",33031,11375,0,0,,,,,,0,0,0,0,0,234,,0,0,0,21656,"2","2","NA","2","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","1","1","1","3","2","1","NA","NA","599.86","1","1","1",1,,,,,,
"2006","SE",59,"4","2006","11",29476,22909,0,0,,,,,,0,0,0,0,8462,232,,0,0,0,6567,"2","1","2","1","1","1","1","1","1","1","1","5","NA","3","3","2","2","2","2","4","1","4","2","1","484.8","741.63","684.32","1","1","1",1,,,,,,
"2006","SE",69,"4","2006","13",49173,40814,0,0,,,,,,0,0,0,0,0,0,,0,0,0,8359,"2","2","NA","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","2","2","4","1","5","2","1","NA","741.63","391.39","1","1","1",1,,,,,,
"2006","SE",79,"4","2006","20",19551,12520,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7031,"2","NA","2","2","1","2","1","1","1","1","1","4","NA","3","NA","2","2","2","2","1","2","6","1","1","NA","NA","332.03","1","1","1",1,,,,,,
"2006","SE",87,"4","2006","20",8445,4456,0,0,,,,,,0,0,0,8445,0,0,,0,182,0,3807,"NA","2","NA","1","1","2","1","1","1","1","1","3","2693.33","1","NA","2","2","2","1","1","1","4","2","1","570.99","NA","727.95","1","1","1",1,,,,,,
"2006","SE",100,"4","2006","20",5758,-311,0,0,,,,,,0,0,0,0,0,316,,0,0,0,6069,"1","2","NA","1","1","1","1","1","1","1","1","6","NA","2","NA","2","2","2","1","2","1","4","2","1","705.11","859.39","598.67","1","1","1",1,,,,,,
"2006","SE",106,"4","2006","29",45414,37965,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7449,"2","2","2","1","1","1","1","1","1","1","1","6","2693.33","3","NA","2","1","2","2","1","2","6","2","1","NA","741.63","1432.63","1","1","1",1,,,,,,
"2006","SE",119,"4","2006","15",31740,24469,0,0,,,,,,0,0,0,0,0,844,,0,1125,0,6146,"2","2","2","1","1","1","1","1","1","1","1","6","NA","3","3","2","2","2","2","2","1","6","2","1","937.28","845.27","768.24","1","1","1",1,,,,,,
"2006","SE",124,"4","2006","16",17788,17329,0,0,,,,,,0,0,0,0,0,88,,0,26,0,433,"2","NA","2","1","1","1","1","1","3","1","1","5","2154.66","2","NA","2","2","2","2","4","1","1","2","1","269.33","602.44","561.5","1","1","1",1,,,,,,
