"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","SE",391,756.393054459353,"1",1989,"2","1","2","2","13","NA","NA","NA","NA","NA","NA","NA",24,23,39,"1","0","0","0"
"2013","SE",491,756.393054459353,"4",1942,"2","1","4","2","NA","NA","NA","NA","NA","0","NA","NA",70,70,49,"0.8571428571","0","0","100"
"2013","SE",651,756.393054459353,"1",1986,"2","1","1","3","NA","3","NA","NA","NA","25","NA","NA",27,26,65,"99","2","0","101"
"2013","SE",771,756.393054459353,"1",1932,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",80,80,77,"0.9571428571","1","0","100"
"2013","SE",881,756.393054459353,"4",1982,"1","1","1","2","NA","3","NA","NA","NA","0","NA","NA",30,30,88,"99","0","0","100"
"2013","SE",961,756.393054459353,"2",1958,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",55,54,96,"1","2","0","0"
"2013","SE",1111,756.393054459353,"2",1967,"2","1","1","4","NA","3","NA","NA","NA","NA","NA","NA",46,45,111,"1","0","0","0"
"2013","SE",1171,756.393054459353,"1",1936,"2","1","1","2","NA","3","NA","NA","5","NA","NA","NA",77,76,117,"99","2","0","0"
"2013","SE",1321,756.393054459353,"2",1959,"2","1","2","2","13","3","NA","30","NA","NA","NA","NA",53,53,132,"1","0","0","0"
"2013","SE",1381,756.393054459353,"3",1940,"2","1","4","4","13","NA","NA","NA","NA","NA","NA","NA",72,72,138,"99","0","0","0"
"2013","SE",1411,756.393054459353,"2",1932,"2","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",80,80,141,"1","2","0","0"
"2013","SE",1501,756.393054459353,"4",1986,"1","1","4","3","13","3","NA","30","NA","0","NA","NA",27,26,150,"1","2","0","100"
"2013","SE",1591,756.393054459353,"4",1938,"2","1","3","4","13","3","NA","NA","15","NA","NA","NA",75,74,159,"0.9134920635","2","0","0"
"2013","SE",1681,756.393054459353,"4",1985,"1","1","4","4","13","3","NA","NA","NA","0","NA","NA",27,27,168,"99","2","0","0"
"2013","SE",2011,756.393054459353,"4",1985,"2","1","4","3","NA","3","NA","NA","NA","NA","NA","NA",27,27,201,"0.5","0","0","100"
"2013","SE",2071,756.393054459353,"3",1945,"2","1","4","3","13","3","NA","NA","NA","NA","NA","0",68,67,207,"0.9571481783","2","0","0"
"2013","SE",2081,756.393054459353,"1",1945,"2","1","1","2","13","3","NA","NA","NA","NA","0","NA",67,67,208,"0.6083333333","0","0","0"
"2013","SE",2551,756.393054459353,"1",1932,"2","1","4","2","13","5","NA","NA","NA","0","NA","NA",80,80,255,"1","0","0","0"
"2013","SE",2681,756.393054459353,"2",1985,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","NA",27,27,268,"0.9571428571","0","0","101"
"2013","SE",2811,756.393054459353,"3",1984,"1","1","2","2","13","3","NA","NA","NA","NA","NA","NA",28,28,281,"99","0","0","0"
"2013","SE",2831,756.393054459353,"4",1960,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",52,52,283,"0.6666666667","2","0","0"
"2013","SE",3211,756.393054459353,"2",1943,"2","1","1","2","13","3","NA","NA","NA","NA","NA","0",69,69,321,"0.7916666667","2","0","0"
"2013","SE",3451,756.393054459353,"1",1938,"2","1","4","4","NA","3","NA","NA","NA","NA","NA","0",75,74,345,"99","0","0","100"
"2013","SE",3801,756.393054459353,"3",1981,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",32,31,380,"0.9","0","0","0"
"2013","SE",3941,756.393054459353,"4",1988,"1","1","1","3","13","NA","NA","30","NA","NA","NA","NA",25,24,394,"99","0","0","0"
"2013","SE",3961,756.393054459353,"1",1939,"2","1","3","4","13","3","NA","NA","0","NA","0","NA",74,73,396,"1","0","0","0"
"2013","SE",3981,756.393054459353,"1",1985,"2","1","3","4","NA","3","NA","NA","NA","NA","NA","NA",27,27,398,"99","0","0","0"
"2013","SE",4001,756.393054459353,"1",1941,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",71,71,400,"0.9607142857","0","0","0"
"2013","SE",4031,756.393054459353,"2",1948,"2","1","1","4","NA","3","NA","NA","NA","0","NA","0",64,64,403,"99","1","0","0"
"2013","SE",4351,756.393054459353,"2",1932,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",80,80,435,"0.6666666667","0","0","0"
"2013","SE",4371,756.393054459353,"1",1982,"1","1","1","4","13","3","NA","NA","NA","NA","0","NA",31,30,437,"0.8333333333","2","0","0"
"2013","SE",4411,756.393054459353,"1",1948,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",65,64,441,"0.5466815659","1","0","0"
"2013","SE",4941,756.393054459353,"3",1980,"2","1","3","2","NA","3","NA","NA","NA","NA","0","NA",32,32,494,"0.6666666667","0","0","0"
"2013","SE",5281,756.393054459353,"1",1978,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",34,34,528,"1","2","0","0"
"2013","SE",5421,756.393054459353,"4",1990,"2","1","4","2","13","3","NA","NA","NA","NA","NA","0",23,22,542,"1","0","0","0"
"2013","SE",5541,756.393054459353,"2",1932,"2","1","1","2","13","3","NA","NA","0","NA","NA","NA",80,80,554,"0.5","0","0","0"
"2013","SE",5641,756.393054459353,"2",1932,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",80,80,564,"0.6904761905","0","0","0"
"2013","SE",6171,756.393054459353,"2",1950,"1","1","1","3","13","3","NA","NA","18","NA","NA","NA",62,62,617,"0.625","0","0","0"
"2013","SE",6281,756.393054459353,"2",1981,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",32,31,628,"1","0","0","0"
"2013","SE",6321,756.393054459353,"2",1962,"2","1","4","4","13","3","NA","30","NA","0","NA","NA",50,50,632,"0.7133712853","0","0","100"
"2013","SE",6511,756.393054459353,"3",1958,"1","1","3","4","13","NA","NA","30","NA","NA","0","NA",54,54,651,"99","2","0","0"
"2013","SE",6611,756.393054459353,"1",1932,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","0",80,80,661,"1","2","0","0"
"2013","SE",6691,756.393054459353,"3",1971,"2","1","4","2","13","3","NA","NA","0","NA","NA","NA",42,41,669,"1","0","0","0"
"2013","SE",6841,756.393054459353,"4",1935,"2","1","2","3","13","NA","NA","30","NA","NA","NA","0",78,77,684,"1","0","0","0"
"2013","SE",7211,756.393054459353,"4",1990,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",22,22,721,"99","0","0","0"
"2013","SE",7291,756.393054459353,"1",1944,"1","1","2","2","13","NA","NA","NA","NA","NA","0","NA",68,68,729,"1","0","0","0"
