"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2007","SE",341,633.998493975904,"3",1975,"2","1","4","4","13","NA","NA","NA","NA","NA","NA","NA",34,31,32
"2007","SE",431,633.998493975904,"2",1958,"1","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",43,48,49
"2007","SE",571,633.998493975904,"4",1980,"1","1","1","2","NA","3","NA","30","NA","NA","NA","NA",57,26,27
"2007","SE",671,633.998493975904,"1",1929,"1","1","4","4","13","5","NA","NA","NA","NA","NA","NA",67,77,77
"2007","SE",771,633.998493975904,"3",1926,"1","1","3","2","13","3","NA","NA","NA","NA","NA","0",77,80,80
"2007","SE",851,633.998493975904,"1",1931,"2","1","3","3","NA","3","NA","NA","NA","NA","NA","NA",85,75,76
"2007","SE",971,633.998493975904,"3",1957,"1","1","3","2","NA","NA","NA","NA","NA","NA","NA","NA",97,49,50
"2007","SE",1031,633.998493975904,"3",1956,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",103,50,51
"2007","SE",1151,633.998493975904,"1",1971,"1","1","3","2","NA","3","NA","NA","NA","NA","NA","NA",115,35,35
"2007","SE",1211,633.998493975904,"2",1926,"2","1","1","3","13","3","NA","NA","NA","0","0","NA",121,80,80
"2007","SE",1241,633.998493975904,"3",1935,"2","1","4","2","13","NA","NA","NA","NA","NA","NA","0",124,71,72
"2007","SE",1321,633.998493975904,"2",1980,"1","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA",132,26,27
"2007","SE",1391,633.998493975904,"4",1926,"2","1","4","2","13","3","NA","NA","10","40","NA","NA",139,80,80
"2007","SE",1461,633.998493975904,"3",1926,"2","1","1","2","13","3","NA","NA","0","NA","NA","NA",146,80,80
"2007","SE",1761,633.998493975904,"2",1936,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",176,70,71
"2007","SE",1801,633.998493975904,"3",1940,"2","1","4","2","13","NA","NA","NA","NA","NA","NA","NA",180,66,67
"2007","SE",1821,633.998493975904,"2",1957,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",182,49,50
"2007","SE",2231,633.998493975904,"2",1969,"1","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",223,37,38
"2007","SE",2341,633.998493975904,"4",1955,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",234,51,52
"2007","SE",2471,633.998493975904,"2",1960,"1","1","4","2","13","3","NA","NA","NA","NA","NA","NA",247,46,46
"2007","SE",2801,633.998493975904,"3",1952,"1","1","3","4","13","3","NA","NA","15","NA","NA","NA",280,54,55
"2007","SE",3011,633.998493975904,"2",1957,"1","1","1","3","13","3","NA","NA","NA","NA","0","NA",301,49,50
"2007","SE",3311,633.998493975904,"1",1959,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",331,47,48
"2007","SE",3431,633.998493975904,"1",1944,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","NA",343,62,63
"2007","SE",3451,633.998493975904,"1",1979,"1","1","4","4","13","3","NA","30","NA","NA","0","0",345,27,28
"2007","SE",3461,633.998493975904,"4",1942,"2","1","4","4","13","3","NA","NA","NA","NA","0","NA",346,64,65
"2007","SE",3491,633.998493975904,"1",1969,"2","1","NA","3","13","3","NA","NA","NA","NA","NA","NA",349,37,38
"2007","SE",3521,633.998493975904,"2",1980,"1","1","1","2","13","3","NA","NA","NA","NA","NA","0",352,26,27
"2007","SE",3811,633.998493975904,"3",1926,"2","1","1","3","13","NA","NA","NA","NA","0","NA","NA",381,80,80
"2007","SE",3831,633.998493975904,"2",1976,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",383,30,31
"2007","SE",3841,633.998493975904,"2",1943,"1","1","1","3","13","3","NA","NA","NA","NA","0","NA",384,63,64
"2007","SE",3991,633.998493975904,"2",1981,"1","1","3","2","NA","NA","NA","NA","NA","NA","NA","NA",399,25,25
"2007","SE",4341,633.998493975904,"2",1939,"2","1","4","3","13","NA","NA","NA","NA","NA","NA","0",434,67,68
"2007","SE",4631,633.998493975904,"1",1939,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",463,67,68
